STATEFP,GEOID,NAME,NAMELSAD,FIPS,RADII,STORMID,BASIN,STORMNUM,ADVNUM,STARTDTG,ENDDTG
12,12075,Levy,Levy County,12075,50.0,AL042024,al,4.0,000,2024080212,2024081018
13,13299,Ware,Ware County,13299,50.0,AL042024,al,4.0,000,2024080212,2024081018
13,13065,Clinch,Clinch County,13065,50.0,AL042024,al,4.0,000,2024080212,2024081018
12,12023,Columbia,Columbia County,12023,50.0,AL042024,al,4.0,000,2024080212,2024081018
12,12003,Baker,Baker County,12003,50.0,AL042024,al,4.0,000,2024080212,2024081018
12,12115,Sarasota,Sarasota County,12115,50.0,AL042024,al,4.0,000,2024080212,2024081018
12,12121,Suwannee,Suwannee County,12121,50.0,AL042024,al,4.0,000,2024080212,2024081018
12,12123,Taylor,Taylor County,12123,50.0,AL042024,al,4.0,000,2024080212,2024081018
12,12125,Union,Union County,12125,50.0,AL042024,al,4.0,000,2024080212,2024081018
12,12079,Madison,Madison County,12079,50.0,AL042024,al,4.0,000,2024080212,2024081018
12,12083,Marion,Marion County,12083,50.0,AL042024,al,4.0,000,2024080212,2024081018
12,12001,Alachua,Alachua County,12001,50.0,AL042024,al,4.0,000,2024080212,2024081018
12,12057,Hillsborough,Hillsborough County,12057,50.0,AL042024,al,4.0,000,2024080212,2024081018
13,13049,Charlton,Charlton County,13049,50.0,AL042024,al,4.0,000,2024080212,2024081018
13,13299,Ware,Ware County,13299,50.0,AL042024,al,4.0,000,2024080212,2024081018
12,12029,Dixie,Dixie County,12029,64.0,AL042024,al,4.0,000,2024080212,2024081018
12,12067,Lafayette,Lafayette County,12067,64.0,AL042024,al,4.0,000,2024080212,2024081018
12,12075,Levy,Levy County,12075,64.0,AL042024,al,4.0,000,2024080212,2024081018
12,12121,Suwannee,Suwannee County,12121,64.0,AL042024,al,4.0,000,2024080212,2024081018
12,12123,Taylor,Taylor County,12123,64.0,AL042024,al,4.0,000,2024080212,2024081018
