STATEFP,GEOID,NAME,NAMELSAD,FIPS,RADII,STORMID,BASIN,STORMNUM,ADVNUM,STARTDTG,ENDDTG
13,13191,McIntosh,McIntosh County,13191,34.0,AL092022,al,9.0,000,2022092218,2022100106
45,45017,Calhoun,Calhoun County,45017,34.0,AL092022,al,9.0,000,2022092218,2022100106
13,13127,Glynn,Glynn County,13127,34.0,AL092022,al,9.0,000,2022092218,2022100106
37,37181,Vance,Vance County,37181,34.0,AL092022,al,9.0,000,2022092218,2022100106
45,45011,Barnwell,Barnwell County,45011,34.0,AL092022,al,9.0,000,2022092218,2022100106
37,37055,Dare,Dare County,37055,34.0,AL092022,al,9.0,000,2022092218,2022100106
37,37047,Columbus,Columbus County,37047,34.0,AL092022,al,9.0,000,2022092218,2022100106
45,45025,Chesterfield,Chesterfield County,45025,34.0,AL092022,al,9.0,000,2022092218,2022100106
12,12057,Hillsborough,Hillsborough County,12057,34.0,AL092022,al,9.0,000,2022092218,2022100106
12,12053,Hernando,Hernando County,12053,50.0,AL092022,al,9.0,000,2022092218,2022100106
12,12127,Volusia,Volusia County,12127,50.0,AL092022,al,9.0,000,2022092218,2022100106
12,12051,Hendry,Hendry County,12051,50.0,AL092022,al,9.0,000,2022092218,2022100106
37,37155,Robeson,Robeson County,37155,50.0,AL092022,al,9.0,000,2022092218,2022100106
12,12095,Orange,Orange County,12095,50.0,AL092022,al,9.0,000,2022092218,2022100106
12,12099,Palm Beach,Palm Beach County,12099,50.0,AL092022,al,9.0,000,2022092218,2022100106
12,12055,Highlands,Highlands County,12055,50.0,AL092022,al,9.0,000,2022092218,2022100106
45,45089,Williamsburg,Williamsburg County,45089,50.0,AL092022,al,9.0,000,2022092218,2022100106
37,37153,Richmond,Richmond County,37153,50.0,AL092022,al,9.0,000,2022092218,2022100106
37,37093,Hoke,Hoke County,37093,50.0,AL092022,al,9.0,000,2022092218,2022100106
45,45035,Dorchester,Dorchester County,45035,50.0,AL092022,al,9.0,000,2022092218,2022100106
45,45015,Berkeley,Berkeley County,45015,50.0,AL092022,al,9.0,000,2022092218,2022100106
12,12093,Okeechobee,Okeechobee County,12093,50.0,AL092022,al,9.0,000,2022092218,2022100106
12,12109,St. Johns,St. Johns County,12109,50.0,AL092022,al,9.0,000,2022092218,2022100106
12,12043,Glades,Glades County,12043,50.0,AL092022,al,9.0,000,2022092218,2022100106
45,45069,Marlboro,Marlboro County,45069,50.0,AL092022,al,9.0,000,2022092218,2022100106
12,12081,Manatee,Manatee County,12081,50.0,AL092022,al,9.0,000,2022092218,2022100106
12,12069,Lake,Lake County,12069,50.0,AL092022,al,9.0,000,2022092218,2022100106
12,12103,Pinellas,Pinellas County,12103,50.0,AL092022,al,9.0,000,2022092218,2022100106
12,12101,Pasco,Pasco County,12101,50.0,AL092022,al,9.0,000,2022092218,2022100106
12,12119,Sumter,Sumter County,12119,50.0,AL092022,al,9.0,000,2022092218,2022100106
37,37125,Moore,Moore County,37125,50.0,AL092022,al,9.0,000,2022092218,2022100106
12,12117,Seminole,Seminole County,12117,50.0,AL092022,al,9.0,000,2022092218,2022100106
45,45013,Beaufort,Beaufort County,45013,50.0,AL092022,al,9.0,000,2022092218,2022100106
12,12031,Duval,Duval County,12031,50.0,AL092022,al,9.0,000,2022092218,2022100106
12,12085,Martin,Martin County,12085,50.0,AL092022,al,9.0,000,2022092218,2022100106
12,12087,Monroe,Monroe County,12087,50.0,AL092022,al,9.0,000,2022092218,2022100106
45,45041,Florence,Florence County,45041,50.0,AL092022,al,9.0,000,2022092218,2022100106
12,12035,Flagler,Flagler County,12035,50.0,AL092022,al,9.0,000,2022092218,2022100106
45,45075,Orangeburg,Orangeburg County,45075,50.0,AL092022,al,9.0,000,2022092218,2022100106
12,12071,Lee,Lee County,12071,50.0,AL092022,al,9.0,000,2022092218,2022100106
37,37165,Scotland,Scotland County,37165,50.0,AL092022,al,9.0,000,2022092218,2022100106
12,12107,Putnam,Putnam County,12107,50.0,AL092022,al,9.0,000,2022092218,2022100106
37,37017,Bladen,Bladen County,37017,50.0,AL092022,al,9.0,000,2022092218,2022100106
45,45067,Marion,Marion County,45067,50.0,AL092022,al,9.0,000,2022092218,2022100106
45,45019,Charleston,Charleston County,45019,50.0,AL092022,al,9.0,000,2022092218,2022100106
37,37129,New Hanover,New Hanover County,37129,50.0,AL092022,al,9.0,000,2022092218,2022100106
12,12105,Polk,Polk County,12105,50.0,AL092022,al,9.0,000,2022092218,2022100106
45,45029,Colleton,Colleton County,45029,50.0,AL092022,al,9.0,000,2022092218,2022100106
12,12111,St. Lucie,St. Lucie County,12111,50.0,AL092022,al,9.0,000,2022092218,2022100106
12,12021,Collier,Collier County,12021,50.0,AL092022,al,9.0,000,2022092218,2022100106
12,12115,Sarasota,Sarasota County,12115,50.0,AL092022,al,9.0,000,2022092218,2022100106
45,45051,Horry,Horry County,45051,50.0,AL092022,al,9.0,000,2022092218,2022100106
45,45027,Clarendon,Clarendon County,45027,50.0,AL092022,al,9.0,000,2022092218,2022100106
12,12097,Osceola,Osceola County,12097,50.0,AL092022,al,9.0,000,2022092218,2022100106
12,12083,Marion,Marion County,12083,50.0,AL092022,al,9.0,000,2022092218,2022100106
45,45033,Dillon,Dillon County,45033,50.0,AL092022,al,9.0,000,2022092218,2022100106
12,12009,Brevard,Brevard County,12009,50.0,AL092022,al,9.0,000,2022092218,2022100106
12,12061,Indian River,Indian River County,12061,50.0,AL092022,al,9.0,000,2022092218,2022100106
37,37019,Brunswick,Brunswick County,37019,50.0,AL092022,al,9.0,000,2022092218,2022100106
37,37123,Montgomery,Montgomery County,37123,50.0,AL092022,al,9.0,000,2022092218,2022100106
45,45043,Georgetown,Georgetown County,45043,50.0,AL092022,al,9.0,000,2022092218,2022100106
37,37047,Columbus,Columbus County,37047,50.0,AL092022,al,9.0,000,2022092218,2022100106
12,12057,Hillsborough,Hillsborough County,12057,50.0,AL092022,al,9.0,000,2022092218,2022100106
