Geographic Area,Households—Median income (dollars)—Estimate,Median income
"Niobrara County, Wyoming","54,375",54375
"Noble County, Indiana","70,286",70286
"Noble County, Ohio","51,547",51547
"Noble County, Oklahoma","66,813",66813
"Nobles County, Minnesota","62,973",62973
"Nodaway County, Missouri","53,917",53917
"Nolan County, Texas","47,437",47437
"Nome Census Area, Alaska","70,121",70121
"Norfolk city, Virginia","60,998",60998
"Norfolk County, Massachusetts","120,621",120621
"Norman County, Minnesota","65,278",65278
"North Slope Borough, Alaska","83,472",83472
"Northampton County, North Carolina","45,698",45698
"Northampton County, Pennsylvania","82,201",82201
"Northampton County, Virginia","54,693",54693
"Northeastern Connecticut Planning Region, Connecticut","83,119",83119
"Northumberland County, Pennsylvania","55,952",55952
"Northumberland County, Virginia","64,655",64655
"Northwest Arctic Borough, Alaska","77,647",77647
"Northwest Hills Planning Region, Connecticut","87,971",87971
"Norton city, Virginia","36,974",36974
"Norton County, Kansas","52,710",52710
"Nottoway County, Virginia","62,366",62366
"Nowata County, Oklahoma","50,960",50960
"Noxubee County, Mississippi","42,298",42298
"Nuckolls County, Nebraska","66,000",66000
"Nueces County, Texas","64,027",64027
"Nye County, Nevada","53,602",53602
"O'Brien County, Iowa","65,076",65076
"Oakland County, Michigan","92,620",92620
"Obion County, Tennessee","50,638",50638
"Ocean County, New Jersey","82,379",82379
"Oceana County, Michigan","60,691",60691
"Ochiltree County, Texas","62,240",62240
"Oconee County, Georgia","116,221",116221
"Oconee County, South Carolina","56,710",56710
"Oconto County, Wisconsin","73,611",73611
"Ogemaw County, Michigan","50,377",50377
"Oglala Lakota County, South Dakota","32,279",32279
"Ogle County, Illinois","75,782",75782
"Oglethorpe County, Georgia","66,672",66672
"Ohio County, Indiana","66,333",66333
"Ohio County, Kentucky","52,474",52474
"Ohio County, West Virginia","55,521",55521
"Okaloosa County, Florida","73,988",73988
"Okanogan County, Washington","58,218",58218
"Okeechobee County, Florida","50,476",50476
"Okfuskee County, Oklahoma","45,429",45429
"Oklahoma County, Oklahoma","62,505",62505
"Okmulgee County, Oklahoma","50,819",50819
"Oktibbeha County, Mississippi","42,953",42953
"Oldham County, Kentucky","117,334",117334
"Oldham County, Texas","71,103",71103
"Oliver County, North Dakota","69,722",69722
"Olmsted County, Minnesota","90,420",90420
"Oneida County, Idaho","67,383",67383
"Oneida County, New York","66,402",66402
"Oneida County, Wisconsin","66,111",66111
"Onondaga County, New York","71,479",71479
"Onslow County, North Carolina","59,976",59976
"Ontario County, New York","76,603",76603
"Ontonagon County, Michigan","48,316",48316
"Orange County, California","109,361",109361
"Orange County, Florida","72,629",72629
"Orange County, Indiana","60,775",60775
"Orange County, New York","91,806",91806
"Orange County, North Carolina","85,785",85785
"Orange County, Texas","71,910",71910
"Orange County, Vermont","74,534",74534
"Orange County, Virginia","87,309",87309
"Orangeburg County, South Carolina","41,020",41020
"Oregon County, Missouri","41,365",41365
"Orleans County, New York","61,069",61069
"Orleans County, Vermont","63,981",63981
"Orleans Parish, Louisiana","51,116",51116
"Orocovis Municipio, Puerto Rico","16,869",16869
"Osage County, Kansas","66,155",66155
"Osage County, Missouri","70,313",70313
"Osage County, Oklahoma","58,189",58189
"Osborne County, Kansas","58,750",58750
"Osceola County, Florida","64,312",64312
"Osceola County, Iowa","67,561",67561
"Osceola County, Michigan","54,875",54875
"Oscoda County, Michigan","48,692",48692
"Oswego County, New York","65,054",65054
"Otero County, Colorado","47,500",47500
"Otero County, New Mexico","50,833",50833
"Otoe County, Nebraska","73,031",73031
"Otsego County, Michigan","62,865",62865
"Otsego County, New York","65,778",65778
"Ottawa County, Kansas","74,551",74551
"Ottawa County, Michigan","83,932",83932
"Ottawa County, Ohio","69,515",69515
"Ottawa County, Oklahoma","46,186",46186
"Otter Tail County, Minnesota","67,990",67990
"Ouachita County, Arkansas","47,348",47348
"Ouachita Parish, Louisiana","49,261",49261
"Ouray County, Colorado","78,750",78750
"Outagamie County, Wisconsin","78,705",78705
"Overton County, Tennessee","46,580",46580
"Owen County, Indiana","57,947",57947
"Owen County, Kentucky","56,485",56485
"Owsley County, Kentucky","32,844",32844
"Owyhee County, Idaho","58,440",58440
"Oxford County, Maine","54,780",54780
"Ozark County, Missouri","39,125",39125
"Ozaukee County, Wisconsin","92,258",92258
"Pacific County, Washington","58,889",58889
"Page County, Iowa","58,264",58264
"Page County, Virginia","56,760",56760
"Palm Beach County, Florida","76,066",76066
"Palo Alto County, Iowa","67,306",67306
"Palo Pinto County, Texas","65,242",65242
"Pamlico County, North Carolina","55,867",55867
"Panola County, Mississippi","47,894",47894
"Panola County, Texas","58,205",58205
"Park County, Colorado","85,019",85019
"Park County, Montana","67,602",67602
"Park County, Wyoming","66,754",66754
"Parke County, Indiana","63,393",63393
"Parker County, Texas","95,721",95721
"Parmer County, Texas","65,575",65575
"Pasco County, Florida","63,187",63187
"Pasquotank County, North Carolina","61,411",61411
"Passaic County, New Jersey","84,465",84465
"Patillas Municipio, Puerto Rico","20,778",20778
"Patrick County, Virginia","49,180",49180
"Paulding County, Georgia","89,237",89237
"Paulding County, Ohio","65,331",65331
"Pawnee County, Kansas","54,141",54141
"Pawnee County, Nebraska","55,833",55833
"Pawnee County, Oklahoma","56,279",56279
"Payette County, Idaho","62,721",62721
"Payne County, Oklahoma","46,658",46658
"Peach County, Georgia","60,940",60940
"Pearl River County, Mississippi","54,220",54220
"Pecos County, Texas","59,325",59325
"Pembina County, North Dakota","64,243",64243
"Pemiscot County, Missouri","37,426",37426
"Pend Oreille County, Washington","59,353",59353
"Pender County, North Carolina","74,538",74538
"Pendleton County, Kentucky","58,723",58723
"Pendleton County, West Virginia","52,458",52458
"Pennington County, Minnesota","71,504",71504
"Pennington County, South Dakota","67,823",67823
"Penobscot County, Maine","59,438",59438
"Peñuelas Municipio, Puerto Rico","20,072",20072
"Peoria County, Illinois","63,409",63409
"Pepin County, Wisconsin","70,833",70833
"Perkins County, Nebraska","61,786",61786
"Perkins County, South Dakota","64,410",64410
"Perquimans County, North Carolina","59,401",59401
"Perry County, Alabama","32,332",32332
"Perry County, Arkansas","53,980",53980
"Perry County, Illinois","56,338",56338
"Perry County, Indiana","58,936",58936
"Perry County, Kentucky","45,330",45330
"Perry County, Mississippi","48,333",48333
"Perry County, Missouri","61,486",61486
"Perry County, Ohio","62,899",62899
"Perry County, Pennsylvania","76,103",76103
"Perry County, Tennessee","55,978",55978
"Pershing County, Nevada","66,304",66304
"Person County, North Carolina","60,688",60688
"Petersburg Borough, Alaska","77,826",77826
"Petersburg city, Virginia","46,930",46930
"Petroleum County, Montana","57,981",57981
"Pettis County, Missouri","57,581",57581
"Phelps County, Missouri","53,242",53242
"Phelps County, Nebraska","65,114",65114
"Philadelphia County, Pennsylvania","57,537",57537
"Phillips County, Arkansas","37,458",37458
"Phillips County, Colorado","58,474",58474
"Phillips County, Kansas","57,611",57611
"Phillips County, Montana","61,250",61250
"Piatt County, Illinois","81,151",81151
"Pickaway County, Ohio","67,600",67600
"Pickens County, Alabama","45,339",45339
"Pickens County, Georgia","72,558",72558
"Pickens County, South Carolina","57,628",57628
"Pickett County, Tennessee","44,317",44317
"Pierce County, Georgia","54,861",54861
"Pierce County, Nebraska","65,603",65603
"Pierce County, North Dakota","59,583",59583
"Pierce County, Washington","91,486",91486
"Pierce County, Wisconsin","82,996",82996
"Pike County, Alabama","42,616",42616
"Pike County, Arkansas","49,248",49248
"Pike County, Georgia","83,866",83866
"Pike County, Illinois","55,514",55514
"Pike County, Indiana","64,182",64182
"Pike County, Kentucky","41,271",41271
"Pike County, Mississippi","40,131",40131
"Pike County, Missouri","53,363",53363
"Pike County, Ohio","50,832",50832
"Pike County, Pennsylvania","76,416",76416
"Pima County, Arizona","64,323",64323
"Pinal County, Arizona","73,313",73313
"Pine County, Minnesota","65,059",65059
"Pinellas County, Florida","66,406",66406
"Pipestone County, Minnesota","68,341",68341
"Piscataquis County, Maine","51,805",51805
"Pitkin County, Colorado","96,123",96123
"Pitt County, North Carolina","54,915",54915
"Pittsburg County, Oklahoma","53,054",53054
"Pittsylvania County, Virginia","52,619",52619
"Piute County, Utah","33,359",33359
"Placer County, California","109,375",109375
"Plaquemines Parish, Louisiana","77,996",77996
"Platte County, Missouri","92,543",92543
"Platte County, Nebraska","69,943",69943
"Platte County, Wyoming","64,753",64753
"Pleasants County, West Virginia","59,666",59666
"Plumas County, California","67,885",67885
"Plymouth County, Iowa","79,963",79963
"Plymouth County, Massachusetts","105,387",105387
"Pocahontas County, Iowa","61,434",61434
"Pocahontas County, West Virginia","41,680",41680
"Poinsett County, Arkansas","43,440",43440
"Pointe Coupee Parish, Louisiana","53,045",53045
"Polk County, Arkansas","48,449",48449
"Polk County, Florida","60,901",60901
"Polk County, Georgia","51,956",51956
"Polk County, Iowa","78,827",78827
"Polk County, Minnesota","69,540",69540
"Polk County, Missouri","54,487",54487
"Polk County, Nebraska","67,695",67695
"Polk County, North Carolina","60,465",60465
"Polk County, Oregon","77,353",77353
"Polk County, Tennessee","53,775",53775
"Polk County, Texas","57,315",57315
"Polk County, Wisconsin","74,142",74142
"Ponce Municipio, Puerto Rico","18,994",18994
"Pondera County, Montana","59,861",59861
"Pontotoc County, Mississippi","54,414",54414
"Pontotoc County, Oklahoma","59,457",59457
"Pope County, Arkansas","51,678",51678
"Pope County, Illinois","57,582",57582
"Pope County, Minnesota","71,212",71212
"Poquoson city, Virginia","114,503",114503
"Portage County, Ohio","69,796",69796
"Portage County, Wisconsin","71,301",71301
"Porter County, Indiana","82,915",82915
"Portsmouth city, Virginia","57,154",57154
"Posey County, Indiana","75,594",75594
"Pottawatomie County, Kansas","85,241",85241
"Pottawatomie County, Oklahoma","58,270",58270
"Pottawattamie County, Iowa","68,718",68718
"Potter County, Pennsylvania","56,491",56491
"Potter County, South Dakota","71,786",71786
"Potter County, Texas","47,974",47974
"Powder River County, Montana","60,313",60313
"Powell County, Kentucky","38,415",38415
"Powell County, Montana","60,994",60994
"Power County, Idaho","56,671",56671
"Poweshiek County, Iowa","61,192",61192
"Powhatan County, Virginia","108,089",108089
"Prairie County, Arkansas","47,045",47045
"Prairie County, Montana","44,107",44107
"Pratt County, Kansas","61,685",61685
"Preble County, Ohio","66,355",66355
"Prentiss County, Mississippi","51,578",51578
"Presidio County, Texas","29,012",29012
"Presque Isle County, Michigan","55,986",55986
"Preston County, West Virginia","60,136",60136
"Price County, Wisconsin","55,822",55822
"Prince Edward County, Virginia","57,304",57304
"Prince George County, Virginia","80,318",80318
"Prince George's County, Maryland","97,935",97935
"Prince of Wales-Hyder Census Area, Alaska","61,779",61779
"Prince William County, Virginia","123,193",123193
"Providence County, Rhode Island","72,579",72579
"Prowers County, Colorado","49,422",49422
"Pueblo County, Colorado","59,436",59436
"Pulaski County, Arkansas","58,326",58326
"Pulaski County, Georgia","42,545",42545
"Pulaski County, Illinois","41,038",41038
"Pulaski County, Indiana","56,823",56823
"Pulaski County, Kentucky","48,768",48768
"Pulaski County, Missouri","62,541",62541
"Pulaski County, Virginia","59,740",59740
"Pushmataha County, Oklahoma","42,274",42274
"Putnam County, Florida","44,852",44852
"Putnam County, Georgia","60,825",60825
"Putnam County, Illinois","75,726",75726
"Putnam County, Indiana","70,609",70609
"Putnam County, Missouri","50,950",50950
"Putnam County, New York","120,970",120970
"Putnam County, Ohio","79,453",79453
"Putnam County, Tennessee","54,371",54371
"Putnam County, West Virginia","75,725",75725
"Quay County, New Mexico","38,998",38998
"Quebradillas Municipio, Puerto Rico","20,209",20209
"Queen Anne's County, Maryland","108,332",108332
"Queens County, New York","82,431",82431
"Quitman County, Georgia","38,889",38889
"Quitman County, Mississippi","31,192",31192
"Rabun County, Georgia","57,261",57261
"Racine County, Wisconsin","72,658",72658
"Radford city, Virginia","51,039",51039
"Rains County, Texas","60,291",60291
"Raleigh County, West Virginia","47,975",47975
"Ralls County, Missouri","62,615",62615
"Ramsey County, Minnesota","78,108",78108
"Ramsey County, North Dakota","61,490",61490
"Randall County, Texas","78,038",78038
"Randolph County, Alabama","49,879",49879
"Randolph County, Arkansas","45,993",45993
"Randolph County, Georgia","24,638",24638
"Randolph County, Illinois","63,860",63860
"Randolph County, Indiana","59,674",59674
"Randolph County, Missouri","51,480",51480
"Randolph County, North Carolina","56,423",56423
"Randolph County, West Virginia","51,186",51186
"Rankin County, Mississippi","76,460",76460
"Ransom County, North Dakota","71,462",71462
"Rapides Parish, Louisiana","55,407",55407
"Rappahannock County, Virginia","98,663",98663
"Ravalli County, Montana","67,424",67424
"Rawlins County, Kansas","61,827",61827
"Ray County, Missouri","69,779",69779
"Reagan County, Texas","70,319",70319
"Real County, Texas","46,842",46842
"Red Lake County, Minnesota","73,889",73889
"Red River County, Texas","44,583",44583
"Red River Parish, Louisiana","43,821",43821
"Red Willow County, Nebraska","58,344",58344
"Redwood County, Minnesota","65,617",65617
"Reeves County, Texas","57,487",57487
"Refugio County, Texas","54,304",54304
"Reno County, Kansas","57,390",57390
"Rensselaer County, New York","83,734",83734
"Renville County, Minnesota","66,313",66313
"Renville County, North Dakota","77,067",77067
"Republic County, Kansas","54,531",54531
"Reynolds County, Missouri","43,856",43856
"Rhea County, Tennessee","55,568",55568
"Rice County, Kansas","58,523",58523
"Rice County, Minnesota","78,214",78214
"Rich County, Utah","69,250",69250
"Richardson County, Nebraska","50,321",50321
"Richland County, Illinois","61,607",61607
"Richland County, Montana","67,515",67515
"Richland County, North Dakota","67,089",67089
"Richland County, Ohio","56,557",56557
"Richland County, South Carolina","59,850",59850
"Richland County, Wisconsin","61,985",61985
"Richland Parish, Louisiana","48,125",48125
"Richmond city, Virginia","59,606",59606
"Richmond County, Georgia","50,605",50605
"Richmond County, New York","96,185",96185
"Richmond County, North Carolina","42,354",42354
"Richmond County, Virginia","62,708",62708
"Riley County, Kansas","56,327",56327
"Rincón Municipio, Puerto Rico","26,771",26771
"Ringgold County, Iowa","67,898",67898
"Rio Arriba County, New Mexico","52,031",52031
"Rio Blanco County, Colorado","69,882",69882
"Rio Grande County, Colorado","57,591",57591
"Río Grande Municipio, Puerto Rico","25,963",25963
"Ripley County, Indiana","70,285",70285
"Ripley County, Missouri","42,541",42541
"Ritchie County, West Virginia","48,973",48973
"Riverside County, California","84,505",84505
"Roane County, Tennessee","66,460",66460
"Roane County, West Virginia","41,299",41299
"Roanoke city, Virginia","51,523",51523
"Roanoke County, Virginia","80,872",80872
"Roberts County, South Dakota","59,022",59022
"Roberts County, Texas","62,667",62667
"Robertson County, Kentucky","53,798",53798
"Robertson County, Tennessee","74,440",74440
"Robertson County, Texas","59,410",59410
"Robeson County, North Carolina","39,393",39393
"Rock County, Minnesota","75,060",75060
"Rock County, Nebraska","57,566",57566
"Rock County, Wisconsin","70,630",70630
"Rock Island County, Illinois","64,435",64435
"Rockbridge County, Virginia","61,903",61903
"Rockcastle County, Kentucky","45,693",45693
"Rockdale County, Georgia","68,999",68999
"Rockingham County, New Hampshire","110,225",110225
"Rockingham County, North Carolina","50,737",50737
"Rockingham County, Virginia","73,232",73232
"Rockland County, New York","106,173",106173
"Rockwall County, Texas","121,303",121303
"Roger Mills County, Oklahoma","57,574",57574
"Rogers County, Oklahoma","75,312",75312
"Rolette County, North Dakota","53,806",53806
"Rooks County, Kansas","60,821",60821
"Roosevelt County, Montana","51,038",51038
"Roosevelt County, New Mexico","52,644",52644
"Roscommon County, Michigan","49,898",49898
"Roseau County, Minnesota","70,122",70122
"Rosebud County, Montana","57,656",57656
"Ross County, Ohio","58,048",58048
"Routt County, Colorado","95,144",95144
"Rowan County, Kentucky","50,038",50038
"Rowan County, North Carolina","59,717",59717
"Runnels County, Texas","55,424",55424
"Rush County, Indiana","62,386",62386
"Rush County, Kansas","53,523",53523
"Rusk County, Texas","61,661",61661
"Rusk County, Wisconsin","57,473",57473
"Russell County, Alabama","47,420",47420
"Russell County, Kansas","49,929",49929
"Russell County, Kentucky","48,220",48220
"Russell County, Virginia","44,088",44088
"Rutherford County, North Carolina","50,512",50512
"Rutherford County, Tennessee","78,291",78291
"Rutland County, Vermont","62,641",62641
"Sabana Grande Municipio, Puerto Rico","20,464",20464
"Sabine County, Texas","47,061",47061
"Sabine Parish, Louisiana","40,777",40777
"Sac County, Iowa","68,778",68778
"Sacramento County, California","84,010",84010
"Sagadahoc County, Maine","77,591",77591
"Saginaw County, Michigan","56,579",56579
"Saguache County, Colorado","51,946",51946
"Salem city, Virginia","68,402",68402
"Salem County, New Jersey","73,378",73378
"Salinas Municipio, Puerto Rico","20,123",20123
"Saline County, Arkansas","73,236",73236
"Saline County, Illinois","51,710",51710
"Saline County, Kansas","59,887",59887
"Saline County, Missouri","55,396",55396
"Saline County, Nebraska","71,104",71104
"Salt Lake County, Utah","90,011",90011
"Saluda County, South Carolina","51,041",51041
"Sampson County, North Carolina","49,963",49963
"San Augustine County, Texas","45,888",45888
"San Benito County, California","104,451",104451
"San Bernardino County, California","77,423",77423
"San Diego County, California","96,974",96974
"San Francisco County, California","136,689",136689
"San Germán Municipio, Puerto Rico","17,862",17862
"San Jacinto County, Texas","54,839",54839
"San Joaquin County, California","82,837",82837
"San Juan County, Colorado","67,344",67344
"San Juan County, New Mexico","50,734",50734
"San Juan County, Utah","52,108",52108
"San Juan County, Washington","76,745",76745
"San Juan Municipio, Puerto Rico","26,111",26111
"San Lorenzo Municipio, Puerto Rico","19,629",19629
"San Luis Obispo County, California","90,158",90158
"San Mateo County, California","149,907",149907
"San Miguel County, Colorado","72,829",72829
"San Miguel County, New Mexico","43,490",43490
"San Patricio County, Texas","63,842",63842
"San Saba County, Texas","54,087",54087
"San Sebastián Municipio, Puerto Rico","17,557",17557
"Sanborn County, South Dakota","65,806",65806
"Sanders County, Montana","47,110",47110
"Sandoval County, New Mexico","76,424",76424
"Sandusky County, Ohio","60,814",60814
"Sangamon County, Illinois","71,653",71653
"Sanilac County, Michigan","55,740",55740
"Sanpete County, Utah","64,356",64356
"Santa Barbara County, California","92,332",92332
"Santa Clara County, California","153,792",153792
"Santa Cruz County, Arizona","51,885",51885
"Santa Cruz County, California","104,409",104409
"Santa Fe County, New Mexico","70,522",70522
"Santa Isabel Municipio, Puerto Rico","22,680",22680
"Santa Rosa County, Florida","84,715",84715
"Sarasota County, Florida","77,213",77213
"Saratoga County, New York","97,038",97038
"Sargent County, North Dakota","75,648",75648
"Sarpy County, Nebraska","95,911",95911
"Sauk County, Wisconsin","72,930",72930
"Saunders County, Nebraska","84,474",84474
"Sawyer County, Wisconsin","57,519",57519
"Schenectady County, New York","75,056",75056
"Schleicher County, Texas","53,774",53774
"Schley County, Georgia","53,274",53274
"Schoharie County, New York","71,479",71479
"Schoolcraft County, Michigan","55,071",55071
"Schuyler County, Illinois","63,737",63737
"Schuyler County, Missouri","53,728",53728
"Schuyler County, New York","61,316",61316
"Schuylkill County, Pennsylvania","63,574",63574
"Scioto County, Ohio","46,360",46360
"Scotland County, Missouri","58,656",58656
"Scotland County, North Carolina","41,948",41948
"Scott County, Arkansas","45,340",45340
"Scott County, Illinois","70,500",70500
"Scott County, Indiana","49,343",49343
"Scott County, Iowa","72,792",72792
"Scott County, Kansas","53,365",53365
"Scott County, Kentucky","80,782",80782
"Scott County, Minnesota","118,268",118268
"Scott County, Mississippi","44,968",44968
"Scott County, Missouri","54,621",54621
"Scott County, Tennessee","39,744",39744
"Scott County, Virginia","44,535",44535
"Scotts Bluff County, Nebraska","60,137",60137
"Screven County, Georgia","49,941",49941
"Scurry County, Texas","58,932",58932
"Searcy County, Arkansas","42,063",42063
"Sebastian County, Arkansas","54,047",54047
"Sedgwick County, Colorado","45,855",45855
"Sedgwick County, Kansas","65,372",65372
"Seminole County, Florida","79,490",79490
"Seminole County, Georgia","46,063",46063
"Seminole County, Oklahoma","43,239",43239
"Seneca County, New York","64,050",64050
"Seneca County, Ohio","62,476",62476
"Sequatchie County, Tennessee","53,038",53038
"Sequoyah County, Oklahoma","47,494",47494
"Sevier County, Arkansas","53,567",53567
"Sevier County, Tennessee","60,103",60103
"Sevier County, Utah","66,972",66972
"Seward County, Kansas","57,131",57131
"Seward County, Nebraska","79,677",79677
"Shackelford County, Texas","60,924",60924
"Shannon County, Missouri","46,767",46767
"Sharkey County, Mississippi","41,000",41000
"Sharp County, Arkansas","43,332",43332
"Shasta County, California","68,347",68347
"Shawano County, Wisconsin","65,493",65493
"Shawnee County, Kansas","63,463",63463
"Sheboygan County, Wisconsin","68,969",68969
"Shelby County, Alabama","90,618",90618
"Shelby County, Illinois","65,585",65585
"Shelby County, Indiana","66,449",66449
"Shelby County, Iowa","70,295",70295
"Shelby County, Kentucky","81,012",81012
"Shelby County, Missouri","50,387",50387
"Shelby County, Ohio","73,502",73502
"Shelby County, Tennessee","59,621",59621
"Shelby County, Texas","49,231",49231
"Shenandoah County, Virginia","62,149",62149
"Sherburne County, Minnesota","99,431",99431
"Sheridan County, Kansas","66,719",66719
"Sheridan County, Montana","67,457",67457
"Sheridan County, Nebraska","53,609",53609
"Sheridan County, North Dakota","68,684",68684
"Sheridan County, Wyoming","68,898",68898
"Sherman County, Kansas","61,404",61404
"Sherman County, Nebraska","60,194",60194
"Sherman County, Oregon","57,171",57171
"Sherman County, Texas","66,169",66169
"Shiawassee County, Michigan","62,498",62498
"Shoshone County, Idaho","44,807",44807
"Sibley County, Minnesota","74,781",74781
"Sierra County, California","61,108",61108
"Sierra County, New Mexico","35,256",35256
"Silver Bow County, Montana","56,297",56297
"Simpson County, Kentucky","55,907",55907
"Simpson County, Mississippi","50,867",50867
"Sioux County, Iowa","81,914",81914
"Sioux County, Nebraska","50,833",50833
"Sioux County, North Dakota","41,201",41201
"Siskiyou County, California","53,898",53898
"Sitka City and Borough, Alaska","95,261",95261
"Skagit County, Washington","82,029",82029
"Skagway Municipality, Alaska","79,583",79583
"Skamania County, Washington","84,500",84500
"Slope County, North Dakota","70,625",70625
"Smith County, Kansas","50,943",50943
"Smith County, Mississippi","51,983",51983
"Smith County, Tennessee","57,677",57677
"Smith County, Texas","69,053",69053
"Smyth County, Virginia","45,061",45061
"Snohomish County, Washington","104,083",104083
"Snyder County, Pennsylvania","65,914",65914
"Socorro County, New Mexico","40,699",40699
"Solano County, California","97,037",97037
"Somerset County, Maine","53,527",53527
"Somerset County, Maryland","52,149",52149
"Somerset County, New Jersey","131,948",131948
"Somerset County, Pennsylvania","57,357",57357
"Somervell County, Texas","87,899",87899
"Sonoma County, California","99,266",99266
"South Central Connecticut Planning Region, Connecticut","83,617",83617
"Southampton County, Virginia","67,813",67813
"Southeast Fairbanks Census Area, Alaska","75,378",75378
"Southeastern Connecticut Planning Region, Connecticut","80,330",80330
"Spalding County, Georgia","57,367",57367
"Spartanburg County, South Carolina","61,955",61955
"Spencer County, Indiana","66,168",66168
"Spencer County, Kentucky","101,118",101118
"Spink County, South Dakota","65,795",65795
"Spokane County, Washington","70,394",70394
"Spotsylvania County, Virginia","105,068",105068
"St. Bernard Parish, Louisiana","55,857",55857
"St. Charles County, Missouri","99,596",99596
"St. Charles Parish, Louisiana","79,191",79191
"St. Clair County, Alabama","73,218",73218
"St. Clair County, Illinois","68,915",68915
"St. Clair County, Michigan","66,887",66887
"St. Clair County, Missouri","43,483",43483
"St. Croix County, Wisconsin","97,950",97950
"St. Francis County, Arkansas","39,822",39822
"St. Francois County, Missouri","53,083",53083
"St. Helena Parish, Louisiana","46,402",46402
"St. James Parish, Louisiana","62,946",62946
"St. John the Baptist Parish, Louisiana","65,114",65114
"St. Johns County, Florida","100,020",100020
"St. Joseph County, Indiana","61,877",61877
"St. Joseph County, Michigan","62,281",62281
"St. Landry Parish, Louisiana","44,478",44478
"St. Lawrence County, New York","58,339",58339
"St. Louis city, Missouri","52,941",52941
"St. Louis County, Minnesota","66,491",66491
"St. Louis County, Missouri","78,067",78067
"St. Lucie County, Florida","66,154",66154
"St. Martin Parish, Louisiana","50,806",50806
"St. Mary Parish, Louisiana","47,322",47322
"St. Mary's County, Maryland","113,668",113668
"St. Tammany Parish, Louisiana","76,914",76914
"Stafford County, Kansas","60,000",60000
"Stafford County, Virginia","128,036",128036
"Stanislaus County, California","74,872",74872
"Stanley County, South Dakota","82,298",82298
"Stanly County, North Carolina","60,634",60634
"Stanton County, Kansas","66,000",66000
"Stanton County, Nebraska","76,035",76035
"Stark County, Illinois","58,125",58125
"Stark County, North Dakota","78,734",78734
"Stark County, Ohio","63,130",63130
"Starke County, Indiana","59,916",59916
"Starr County, Texas","35,979",35979
"Staunton city, Virginia","59,731",59731
"Ste. Genevieve County, Missouri","61,215",61215
"Stearns County, Minnesota","73,105",73105
"Steele County, Minnesota","79,722",79722
"Steele County, North Dakota","85,750",85750
"Stephens County, Georgia","52,901",52901
"Stephens County, Oklahoma","57,065",57065
"Stephens County, Texas","44,712",44712
"Stephenson County, Illinois","57,527",57527
"Sterling County, Texas","63,558",63558
"Steuben County, Indiana","68,837",68837
"Steuben County, New York","62,506",62506
"Stevens County, Kansas","67,950",67950
"Stevens County, Minnesota","69,737",69737
"Stevens County, Washington","62,381",62381
"Stewart County, Georgia","43,094",43094
"Stewart County, Tennessee","57,257",57257
"Stillwater County, Montana","78,380",78380
"Stoddard County, Missouri","51,703",51703
"Stokes County, North Carolina","57,539",57539
"Stone County, Arkansas","37,664",37664
"Stone County, Mississippi","55,894",55894
"Stone County, Missouri","58,392",58392
"Stonewall County, Texas","66,591",66591
"Storey County, Nevada","86,932",86932
"Story County, Iowa","66,197",66197
"Strafford County, New Hampshire","83,212",83212
"Stutsman County, North Dakota","59,167",59167
"Sublette County, Wyoming","85,960",85960
"Suffolk city, Virginia","87,758",87758
"Suffolk County, Massachusetts","87,669",87669
"Suffolk County, New York","122,498",122498
"Sullivan County, Indiana","54,556",54556
"Sullivan County, Missouri","53,438",53438
"Sullivan County, New Hampshire","70,788",70788
"Sullivan County, New York","67,841",67841
"Sullivan County, Pennsylvania","62,910",62910
"Sullivan County, Tennessee","54,357",54357
"Sully County, South Dakota","66,875",66875
"Summers County, West Virginia","42,991",42991
"Summit County, Colorado","100,611",100611
"Summit County, Ohio","68,360",68360
"Summit County, Utah","126,392",126392
"Sumner County, Kansas","59,397",59397
"Sumner County, Tennessee","81,883",81883
"Sumter County, Alabama","31,726",31726
"Sumter County, Florida","70,105",70105
"Sumter County, Georgia","38,899",38899
"Sumter County, South Carolina","53,970",53970
"Sunflower County, Mississippi","37,403",37403
"Surry County, North Carolina","52,743",52743
"Surry County, Virginia","68,655",68655
"Susquehanna County, Pennsylvania","63,968",63968
"Sussex County, Delaware","75,406",75406
"Sussex County, New Jersey","111,094",111094
"Sussex County, Virginia","59,195",59195
"Sutter County, California","72,654",72654
"Sutton County, Texas","56,778",56778
"Suwannee County, Florida","49,729",49729
"Swain County, North Carolina","52,818",52818
"Sweet Grass County, Montana","64,872",64872
"Sweetwater County, Wyoming","79,375",79375
"Swift County, Minnesota","58,362",58362
"Swisher County, Texas","40,290",40290
"Switzerland County, Indiana","66,525",66525
"Talbot County, Georgia","48,065",48065
"Talbot County, Maryland","81,667",81667
"Taliaferro County, Georgia","45,881",45881
"Talladega County, Alabama","52,457",52457
"Tallahatchie County, Mississippi","35,428",35428
"Tallapoosa County, Alabama","53,282",53282
"Tama County, Iowa","65,483",65483
"Taney County, Missouri","54,467",54467
"Tangipahoa Parish, Louisiana","55,274",55274
"Taos County, New Mexico","55,145",55145
"Tarrant County, Texas","78,872",78872
"Tate County, Mississippi","61,286",61286
"Tattnall County, Georgia","51,868",51868
"Taylor County, Florida","46,239",46239
"Taylor County, Georgia","40,727",40727
"Taylor County, Iowa","65,926",65926
"Taylor County, Kentucky","63,211",63211
"Taylor County, Texas","61,806",61806
"Taylor County, West Virginia","52,946",52946
