fips_code,county,state,customers_out,run_start_time,total_customers,FIPS,total22_customers
12001,Alachua,Florida,6,2024-10-07 08:45:00,141425.0,12001,218548
12001,Alachua,Florida,8,2024-10-07 09:00:00,141425.0,12001,218548
12001,Alachua,Florida,5,2024-10-07 09:15:00,141425.0,12001,218548
12001,Alachua,Florida,5,2024-10-07 09:30:00,141425.0,12001,218548
12001,Alachua,Florida,5,2024-10-07 09:45:00,141425.0,12001,218548
12001,Alachua,Florida,5,2024-10-07 10:00:00,141425.0,12001,218548
12001,Alachua,Florida,5,2024-10-07 10:15:00,141425.0,12001,218548
12001,Alachua,Florida,5,2024-10-07 10:30:00,141425.0,12001,218548
12001,Alachua,Florida,5,2024-10-07 10:45:00,141425.0,12001,218548
12001,Alachua,Florida,5,2024-10-07 11:00:00,141425.0,12001,218548
12001,Alachua,Florida,5,2024-10-07 11:15:00,141425.0,12001,218548
12001,Alachua,Florida,9,2024-10-07 11:30:00,141425.0,12001,218548
12001,Alachua,Florida,20,2024-10-07 11:45:00,141425.0,12001,218548
12001,Alachua,Florida,20,2024-10-07 12:00:00,141425.0,12001,218548
12001,Alachua,Florida,20,2024-10-07 12:15:00,141425.0,12001,218548
12001,Alachua,Florida,20,2024-10-07 12:30:00,141425.0,12001,218548
12001,Alachua,Florida,36,2024-10-07 12:45:00,141425.0,12001,218548
12001,Alachua,Florida,24,2024-10-07 13:00:00,141425.0,12001,218548
12001,Alachua,Florida,80,2024-10-07 13:15:00,141425.0,12001,218548
12001,Alachua,Florida,91,2024-10-07 13:30:00,141425.0,12001,218548
12001,Alachua,Florida,84,2024-10-07 13:45:00,141425.0,12001,218548
12001,Alachua,Florida,84,2024-10-07 14:00:00,141425.0,12001,218548
12001,Alachua,Florida,50,2024-10-07 14:15:00,141425.0,12001,218548
12001,Alachua,Florida,29,2024-10-07 14:30:00,141425.0,12001,218548
12001,Alachua,Florida,27,2024-10-07 14:45:00,141425.0,12001,218548
12001,Alachua,Florida,722,2024-10-07 15:00:00,141425.0,12001,218548
12001,Alachua,Florida,721,2024-10-07 15:15:00,141425.0,12001,218548
12001,Alachua,Florida,719,2024-10-07 15:30:00,141425.0,12001,218548
12001,Alachua,Florida,723,2024-10-07 15:45:00,141425.0,12001,218548
12001,Alachua,Florida,23,2024-10-07 16:00:00,141425.0,12001,218548
12001,Alachua,Florida,18,2024-10-07 16:15:00,141425.0,12001,218548
12001,Alachua,Florida,18,2024-10-07 16:30:00,141425.0,12001,218548
12001,Alachua,Florida,20,2024-10-07 16:45:00,141425.0,12001,218548
12001,Alachua,Florida,4,2024-10-07 17:00:00,141425.0,12001,218548
12001,Alachua,Florida,7,2024-10-07 17:15:00,141425.0,12001,218548
12001,Alachua,Florida,885,2024-10-07 17:30:00,141425.0,12001,218548
12001,Alachua,Florida,877,2024-10-07 17:45:00,141425.0,12001,218548
12001,Alachua,Florida,4,2024-10-07 18:00:00,141425.0,12001,218548
12001,Alachua,Florida,16,2024-10-07 18:15:00,141425.0,12001,218548
12001,Alachua,Florida,16,2024-10-07 18:30:00,141425.0,12001,218548
12001,Alachua,Florida,16,2024-10-07 18:45:00,141425.0,12001,218548
12001,Alachua,Florida,17,2024-10-07 19:00:00,141425.0,12001,218548
12001,Alachua,Florida,18,2024-10-07 19:15:00,141425.0,12001,218548
12001,Alachua,Florida,20,2024-10-07 19:30:00,141425.0,12001,218548
12001,Alachua,Florida,53,2024-10-07 19:45:00,141425.0,12001,218548
12001,Alachua,Florida,45,2024-10-07 20:00:00,141425.0,12001,218548
12001,Alachua,Florida,45,2024-10-07 20:15:00,141425.0,12001,218548
12001,Alachua,Florida,65,2024-10-07 20:30:00,141425.0,12001,218548
12001,Alachua,Florida,40,2024-10-07 20:45:00,141425.0,12001,218548
12001,Alachua,Florida,38,2024-10-07 21:00:00,141425.0,12001,218548
12001,Alachua,Florida,47,2024-10-07 21:15:00,141425.0,12001,218548
12001,Alachua,Florida,13,2024-10-07 21:30:00,141425.0,12001,218548
12001,Alachua,Florida,13,2024-10-07 21:45:00,141425.0,12001,218548
12001,Alachua,Florida,13,2024-10-07 22:00:00,141425.0,12001,218548
12001,Alachua,Florida,24,2024-10-07 22:15:00,141425.0,12001,218548
12001,Alachua,Florida,24,2024-10-07 22:30:00,141425.0,12001,218548
12001,Alachua,Florida,4,2024-10-07 22:45:00,141425.0,12001,218548
12001,Alachua,Florida,3,2024-10-07 23:00:00,141425.0,12001,218548
12001,Alachua,Florida,4,2024-10-07 23:15:00,141425.0,12001,218548
12001,Alachua,Florida,3,2024-10-07 23:30:00,141425.0,12001,218548
12001,Alachua,Florida,5,2024-10-08 00:15:00,141425.0,12001,218548
12001,Alachua,Florida,141,2024-10-08 00:30:00,141425.0,12001,218548
12001,Alachua,Florida,140,2024-10-08 00:45:00,141425.0,12001,218548
12001,Alachua,Florida,138,2024-10-08 01:00:00,141425.0,12001,218548
12001,Alachua,Florida,138,2024-10-08 01:15:00,141425.0,12001,218548
12001,Alachua,Florida,138,2024-10-08 01:30:00,141425.0,12001,218548
12001,Alachua,Florida,46,2024-10-08 01:45:00,141425.0,12001,218548
12001,Alachua,Florida,46,2024-10-08 02:00:00,141425.0,12001,218548
12001,Alachua,Florida,46,2024-10-08 02:15:00,141425.0,12001,218548
12001,Alachua,Florida,46,2024-10-08 02:30:00,141425.0,12001,218548
12001,Alachua,Florida,46,2024-10-08 02:45:00,141425.0,12001,218548
